defending_team,Matches_x,Corners_Faced,Total_Danger,Avg_Danger,DHSS,Matches_y,First_Contact_Situations,First_Contacts_Won,FCCI,Matches,Second_Ball_Situations,Second_Balls_Controlled,SBCM,SPDCI
Deportivo Alavés,2,19,37,1.9473684210526316,51.315789473684205,2,12,10,83.33333333333334,2,12,5,41.66666666666667,60.10964912280703
Real Valladolid,2,9,18,2.0,50.0,2,5,3,60.0,2,5,2,40.0,51.0
Huesca,2,13,27,2.076923076923077,48.07692307692307,2,6,5,83.33333333333334,2,6,0,0.0,48.3974358974359
Athletic Club,2,11,23,2.090909090909091,47.72727272727273,2,7,4,57.14285714285714,2,7,0,0.0,39.090909090909086
Elche,1,6,13,2.1666666666666665,45.833333333333336,1,2,1,50.0,1,2,0,0.0,35.833333333333336
Osasuna,2,9,21,2.3333333333333335,41.666666666666664,2,4,4,100.0,2,4,1,25.0,57.91666666666667
Real Sociedad,2,3,7,2.3333333333333335,41.666666666666664,1,2,2,100.0,1,2,0,0.0,51.66666666666667
Granada,2,7,17,2.4285714285714284,39.28571428571429,1,3,3,100.0,1,3,1,33.33333333333333,59.04761904761905
Cádiz,2,21,52,2.4761904761904763,38.095238095238095,2,13,12,92.3076923076923,2,13,2,15.384615384615385,51.391941391941394
Real Betis,2,14,36,2.5714285714285716,35.71428571428571,2,6,5,83.33333333333334,2,6,5,83.33333333333334,64.28571428571428
Sevilla,2,9,24,2.6666666666666665,33.333333333333336,2,5,3,60.0,2,5,1,20.0,39.333333333333336
Levante UD,2,18,48,2.6666666666666665,33.333333333333336,2,8,6,75.0,2,8,4,50.0,52.083333333333336
Barcelona,34,127,341,2.6850393700787403,32.874015748031496,32,90,69,76.66666666666667,32,88,28,31.818181818181817,47.93748508709139
Valencia,2,9,26,2.888888888888889,27.77777777777778,1,5,4,80.0,1,5,1,20.0,44.111111111111114
Getafe,2,5,15,3.0,25.0,1,1,1,100.0,1,1,1,100.0,70.0
Villarreal,2,9,27,3.0,25.0,1,3,3,100.0,1,3,0,0.0,45.0
Celta Vigo,2,14,42,3.0,25.0,2,7,5,71.42857142857143,2,7,3,42.857142857142854,45.714285714285715
Atlético Madrid,2,13,42,3.230769230769231,19.23076923076923,2,9,8,88.88888888888889,2,9,4,44.44444444444444,49.91452991452991
Real Madrid,2,13,42,3.230769230769231,19.23076923076923,2,10,5,50.0,2,10,4,40.0,35.19230769230769
